Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Features,Room,Communication,Community
House,PKR8.5 Crore,,,,"G-13, Islamabad, Islamabad Capital",-,10 Marla,For Sale,-,2 hours ago,"['Main Features, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Furnished']","['Rooms, Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,17 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR7.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,17 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,17 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,17 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,17 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,18 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,20 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,20 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR12.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 3']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 2']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR12.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors: 2, Floors in Building: 3, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Park Facing, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR13.95 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,1 day ago,"['Main Features, Built in year: 2023, Lobby in Building, Central Heating, Waste Disposal, Floor, Floors: 2, Floors in Building: 7, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR13.85 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 1, Lounge or Sitting Room']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']",[]
House,PKR6.25 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,11 Marla,For Sale,5,1 day ago,"['Main Features, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR9 Crore,,,,"G-9, Islamabad, Islamabad Capital",5,9.3 Marla,For Sale,5,4 hours ago,"['Main Features, Parking Spaces: 1, Waste Disposal, Other Main Features']","['Rooms, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR5.75 Crore,,,,"Soan Garden, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,4 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Other Community Facilities']"
Flat,PKR1.4 Crore,,,,"E-11, Islamabad, Islamabad Capital",2,4 Marla,For Sale,2,5 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 1, Flooring, Electricity Backup, Floor: 11, Floors in Building: 15, Elevators: 2']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Store Rooms: 1']","['Plot Features, Possesion, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']"
House,PKR5.2 Crore,,,,"G-11, Islamabad, Islamabad Capital",6,5.6 Marla,For Sale,5,6 hours ago,"['Main Features, Parking Spaces, Central Air Conditioning, Flooring, Electricity Backup, Floors: 2']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)']",[],[]
Flat,PKR2.48 Crore,,,,"G-11, Islamabad, Islamabad Capital",2,4 Marla,For Sale,2,6 hours ago,"['Main Features, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR8.95 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,58 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Floors in Building, Elevators, Service Elevators in Building, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Prayer Room, Powder Room Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR11.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,59 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR6 Crore,,,,"G-13, Islamabad, Islamabad Capital",5,7 Marla,For Sale,5,2 hours ago,"['Main Features, Double Glazed Windows, Central Air Conditioning, Central Heating, Waste Disposal, Furnished']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, File, Balloted, Sewerage, Electricity, Water Supply, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']"
